interarrival People,interarrival time,ticket machine,ticket cashier,Snack #People,snack queue,snack ordering,snack preparing,snack paying,Total time Snackbar
6,0,72,49,2,376.77,43.81,23.39,10.7,454.67
2,17,42,112,2,75.18,23.8,22.16,39.97,161.11
2,4,57,87,2,25.85,27.81,5.8,1.42,60.88
2,6,64,54,2,16.29,14.11,62.04,28.84,121.28
2,13,59,46,2,76.55,21.11,25.82,38.33,161.81
2,4,66,34,2,290.71,16.76,44.14,12.72,364.33
2,2,74,131,2,60.14,12.44,62.52,20.04,155.14
2,13,55,127,2,86.89,7.21,24.77,64.25,183.12
2,9,85,37,2,47.42,6.07,37.9,18.8,110.19
2,5,60,38,2,68.72,11.41,73.26,26.9,180.29
2,5,75,83,3,67.32,13.9,77.08,12.8,171.1
1,5,55,138,2,16.35,27.33,22.42,20.79,86.89
2,3,103,57,3,23.35,39.04,23.84,32.59,118.82
3,4,57,86,2,246.39,21.66,31.62,10.73,310.4
2,10,63,103,2,10.65,10.65,19.81,29.28,70.39
3,9,71,62,3,20.81,17.77,17.22,128.6,184.4
2,3,68,107,2,212.37,8.41,74.57,11.54,306.89
2,4,64,63,2,57.43,13.89,15.82,18.22,105.36
4,6,75,97,3,43.63,20,49.58,16.73,129.94
2,11,69,85,1,130.43,5.07,18.24,25.02,178.76
2,6,50,60,2,115.38,26.48,50.93,192.79,385.58
2,2,83,77,3,244.15,7.69,47.79,15.73,315.36
4,3,72,67,1,45.42,27.75,8.4,3.12,84.69
2,6,68,74,2,137.52,36.13,57.43,12.48,243.56
2,14,64,81,2,69.16,49.88,80.47,11,210.51
5,28,82,66,1,72.35,18.96,11.7,3.89,106.9
2,13,55,98,2,50.5,45.5,62.83,3.09,161.92
4,4,96,,2,117.62,31.81,32.41,23.3,205.14
2,10,67,,2,234.39,25.1,41.13,6.18,306.8
4,20,,,2,128.83,45.68,32.05,17.41,223.97
2,19,,,1,34.41,29.66,16.56,1.18,81.81
2,5,,,2,13.86,55.45,13.48,39.35,122.14
3,11,,,2,79.18,26.95,78.92,31.12,216.17
2,19,,,2,49.81,35.2,46.71,9.85,141.57
3,8,,,2,49.63,45.26,1.48,3.38,99.75
2,10,,,3,154.66,16.98,47.16,7.2,226
2,27,,,3,81.25,47.5,48.7,86.87,264.32
3,3,,,2,258.2,40.5,35.55,30.75,365
2,9,,,2,235.19,109.8,88.2,32.11,465.3
1,3,,,2,346.6,20.38,29.03,11.88,407.89
2,14,,,1,402.95,38.46,20.06,15.96,477.43
2,8,,,2,505.66,57.53,13.92,6.19,583.3
3,4,,,3,451.2,49,29.71,56.61,586.52
4,10,,,4,601.54,52.5,28.68,79.67,762.39
2,13,,,2,249.17,24.08,32.83,69.55,375.63
2,4,,,2,446.71,32.76,33.05,9.32,521.84
3,7,,,2,269.63,61.44,39.15,43.34,413.56
2,15,,,4,394.32,53.75,68.51,64.05,580.63
3,14,,,2,335.81,69.08,68.31,27.46,500.66
6,5,,,2,335.38,70.65,45.87,16.59,468.49
11,3,,,2,469.77,29.91,43.22,18.88,561.78
2,26,,,2,217.89,9.69,15.41,14.41,257.4
4,3,,,4,621.2,10.72,65.42,27.32,724.66
3,8,,,2,347.63,22.69,96.61,12.87,479.8
5,5,,,1,571.79,7.33,24.89,6.13,610.14
2,5,,,2,580.07,12.16,50.11,21.44,663.78
2,4,,,1,409.37,12.84,17.38,24.69,464.28
3,17,,,2,311.3,19.39,78.22,29.18,438.09
5,13,,,2,556.02,44.4,88.07,22.65,711.14
5,5,,,3,869.07,32.69,30.05,17.68,949.49
4,6,,,2,120.89,8.48,25.55,11.98,166.9
2,28,,,3,233.56,17.97,14.55,24.57,290.65
4,10,,,2,247.22,11.46,16.4,22.96,298.04
3,18,,,2,361.2,22.3,85.07,18.9,487.47
3,8,,,2,358.09,26.37,52.19,22.28,458.93
2,2,,,2,432.88,12.17,31.57,20.83,497.45
,,,,2,169.47,21.2,95.49,11.21,297.37
,,,,2,252.8,90.09,91.93,14.03,448.85
,,,,1,637.49,17.37,10.36,9.86,675.08