Replication No.,OldtimeInSystem,OldTotalWaiting,OldQueueMachine,OldQueueCashier,OldQueueSnackbar,NewtimeInSystem,NewTotalWaiting,NewQueueOrder,NewQueuePreparing
1,396.378,360.844,0,11.082,349.762,80.652,0.545,0.391,0.154
2,432.116,421.271,0,5.233,416.038,84.048,1.673,1.602,0.071
3,424.715,399.94,0,0.772,399.168,86.444,1.355,0.603,0.752
4,365.179,321.597,0,1.514,320.083,82.388,1.361,1.353,0.008
5,508.187,486.21,0,8.86,477.35,81.582,0.598,0.541,0.057
6,466.678,450.432,0,0,450.432,88.216,4.222,3.3,0.922
7,367.546,331.495,0,8.481,323.014,86.9,3.041,2.771,0.27
8,472.047,441.724,0,3.929,437.795,87.065,1.088,1.088,0
9,417.627,363.636,0,0.172,363.464,89.682,4.83,4.687,0.143
10,577.139,562.352,0,1.018,561.334,79.732,0.925,0.916,0.009